Account,Cluster,date,total_trades,avg_trade_size_usd,max_trade_size_usd,daily_gross_pnl,total_fees,long_trades,short_trades,winning_trades,losing_trades,sentiment_score,sentiment_class,net_pnl,win_rate,long_short_ratio,Sentiment_Group
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2024-11-11,177,5089.718248587571,59999.96,0.0,167.796055,0,177,0,0,76.0,Extreme Greed,-167.796055,,0.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2024-11-17,68,7976.664411764705,65882.09,0.0,67.883615,0,68,0,0,90.0,Extreme Greed,-67.883615,,0.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2024-11-18,40,23734.5,665771.71,0.0,94.93798300000002,0,40,0,0,83.0,Extreme Greed,-94.93798300000002,,0.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2024-11-22,12,28186.666666666668,78852.88,-21227.0,33.823995,12,0,0,12,94.0,Extreme Greed,-21260.823995,0.0,,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2024-11-26,27,17248.14814814815,132297.77,1603.1,104.62249,12,15,12,0,79.0,Extreme Greed,1498.47751,100.0,0.8,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2024-11-28,82,16058.536341463414,87610.64,-132271.0,131.679967,82,0,0,82,77.0,Extreme Greed,-132402.679967,0.0,,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2024-11-30,23,48561.68565217392,382727.69,0.0,390.921553,0,23,0,0,84.0,Extreme Greed,-390.921553,,0.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2024-12-06,33,36736.36242424243,814524.17,-175611.00005600002,121.229992,33,0,0,33,72.0,Greed,-175732.23004800003,0.0,,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2025-01-19,465,11410.954021505377,225637.33,71393.964098,780.33644,112,353,23,89,77.0,Extreme Greed,70613.627658,20.535714285714285,0.31728045325779036,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2025-01-20,51,9400.588039215687,156962.3,40218.599998,23.971493,28,23,28,0,76.0,Extreme Greed,40194.628505,100.0,1.2173913043478262,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2025-02-02,10,185847.0,931290.0,76710.0,92.923496,9,1,9,0,60.0,Greed,76617.076504,100.0,9.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2025-02-03,839,23593.019856972587,1190250.0,101011.685664,2355.038296,350,489,256,115,44.0,Fear,98656.647368,69.00269541778977,0.7157464212678937,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2025-02-04,531,10576.687156308852,301855.74,375620.270243,704.19937,111,420,83,28,72.0,Greed,374916.070873,74.77477477477478,0.2642857142857143,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,1,2025-02-05,210,26585.06338095238,521633.4,44400.9058,700.101577,78,132,78,0,54.0,Neutral,43700.804223,100.0,0.5909090909090909,Neutral
